,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
1146,87,15,8,0,9
1147,61,6,57,0,1
1148,63,20,64,0,1
1149,66,14,42,0,2
1150,64,20,13,0,4
1151,101,7,54,0,1
1152,71,33,16,0,1
1153,94,19,42,0,8
1154,85,16,31,1,2
1155,116,0,39,0,1
1156,99,35,75,0,2
1157,175,11,68,0,3
1158,199,14,48,0,3
1159,110,23,25,1,8
1160,167,26,92,0,1
1161,194,1,97,0,1
1162,164,11,11,1,2
1163,117,9,78,0,1
1164,105,20,81,0,1
1165,68,9,34,0,1
1166,70,6,21,1,9
1167,68,5,30,0,5
1168,65,26,97,0,1
1169,105,13,22,0,1
1170,69,10,14,1,1
1171,95,28,63,0,1
1172,126,19,17,0,4
1173,125,12,8,0,1
1174,181,22,96,0,2
1175,69,4,65,0,1
1176,103,10,14,3,5
1177,131,19,48,0,1
1178,69,3,11,0,1
1179,72,17,65,4,1
1180,68,10,38,0,2
1181,73,10,24,0,1
1182,103,18,84,0,2
1183,66,16,19,1,2
1184,104,0,38,2,2
1185,62,30,77,0,1
1186,87,15,46,0,6
1187,139,25,29,1,2
1188,70,6,24,0,6
1189,113,14,77,0,1
1190,70,13,16,1,2
1191,90,14,68,0,9
1192,82,29,92,0,2
1193,180,24,43,0,3
1194,74,25,25,0,8
1195,66,7,25,0,1
1196,68,3,41,1,6
1197,62,15,80,0,3
1198,142,30,31,0,2
1199,63,9,10,0,1
1200,239,19,59,0,7
1201,79,25,2,0,9
1202,99,30,31,0,1
1203,69,26,33,0,9
1204,106,25,54,1,3
1205,66,16,77,0,2
1206,136,35,93,0,1
1207,80,6,16,0,1
1208,72,16,31,0,9
1209,61,12,47,1,2
1210,68,8,9,0,2
1211,96,6,5,0,1
1212,70,20,4,4,3
1213,66,2,45,0,5
1214,89,16,64,1,2
1215,98,17,36,0,9
1216,65,2,85,0,2
1217,71,23,84,0,1
1218,61,21,40,1,2
1219,100,11,89,2,2
1220,119,0,61,0,3
1221,79,7,2,0,6
1222,73,16,66,0,2
1223,98,16,82,0,2
1224,70,26,31,0,6
1225,82,29,23,1,2
1226,110,9,23,0,6
1227,66,22,23,0,2
1228,66,6,4,0,7
1229,61,15,81,0,9
1230,139,16,50,0,1
1231,112,21,98,0,7
1232,78,6,84,0,3
1233,124,13,60,0,2
1234,117,17,41,1,9
1235,110,14,72,1,2
1236,74,14,4,0,2
1237,68,22,6,1,9
1238,78,10,20,0,2
1239,109,33,20,2,1
1240,222,21,58,0,4
1241,64,10,61,0,2
1242,101,25,97,0,3
1243,77,26,87,0,1
1244,130,10,38,2,4
1245,84,1,9,0,6
1246,84,28,84,0,1
1247,130,11,0,0,1
1248,61,16,55,0,1
1249,85,17,16,0,9
1250,131,34,61,0,9
1251,139,3,51,0,1
1252,61,13,17,0,9
1253,74,17,27,0,2
1254,96,21,18,0,3
1255,71,16,38,0,2
1256,90,25,89,0,1
1257,82,28,91,0,1
1258,103,33,54,0,3
1259,111,11,5,0,1
1260,62,31,35,0,1
1261,70,14,27,3,2
1262,103,11,92,0,1
1263,107,23,9,0,1
1264,72,20,41,0,7
1265,107,8,90,2,3
1266,99,27,59,0,2
1267,103,6,20,0,1
1268,72,22,82,0,3
1269,90,3,89,0,1
1270,74,27,19,0,9
1271,87,17,33,0,3
1272,84,1,9,0,6
1273,93,7,90,1,5
1274,72,30,95,0,5
1275,153,25,5,0,1
1276,66,10,48,1,1
1277,62,10,31,0,2
1278,66,4,2,0,2
1279,114,2,25,3,6
1280,114,3,93,0,1
1281,108,30,57,0,3
1282,90,28,43,0,2
1283,215,4,21,1,1
1284,101,12,12,0,6
1285,65,19,10,0,3
1286,136,35,93,0,1
1287,102,33,91,0,1
1288,112,31,66,1,1
1289,71,28,67,0,2
1290,103,13,46,0,2
1291,102,2,71,1,6
1292,283,16,43,0,1
1293,74,22,94,3,2
1294,169,31,77,0,1
1295,63,24,35,1,1
1296,80,0,13,1,2
1297,107,9,18,0,1
1298,89,6,67,0,2
1299,102,28,11,0,1
1300,248,8,74,0,8
1301,65,9,31,0,2
1302,70,29,80,0,3
1303,90,2,71,0,1
1304,104,17,61,0,2
1305,97,19,94,5,1
1306,74,2,43,1,2
1307,74,3,63,0,2
1308,73,12,14,0,6
1309,63,8,27,0,9
1310,136,35,93,0,1
1311,72,18,30,3,2
1312,223,28,26,0,2
1313,126,16,97,0,2
1314,121,11,92,0,5
1315,128,30,26,0,5
1316,64,1,64,0,2
1317,78,9,67,0,3
1318,129,20,86,1,1
1319,111,0,49,5,6
1320,65,0,45,0,1
1321,79,29,49,1,1
1322,82,12,67,0,1
1323,85,5,65,0,4
1324,66,21,67,0,1
1325,107,13,29,0,1
1326,79,14,51,2,2
1327,77,35,38,0,1
1328,65,18,7,3,2
1329,73,1,44,0,4
1330,111,27,38,0,2
1331,91,13,89,0,4
1332,69,29,35,0,1
1333,108,6,55,0,2
1334,87,22,66,2,1
1335,136,5,46,0,1
1336,65,32,62,0,1
1337,67,33,75,2,1
1338,72,4,72,0,7
1339,133,14,97,1,3
1340,98,5,20,0,2
1341,62,21,3,0,4
1342,113,29,67,0,5
1343,70,0,62,1,4
1344,90,27,9,0,1
1345,73,10,11,0,1
1346,127,32,26,2,6
1347,86,11,59,0,1
1348,99,13,53,0,1
1349,69,8,77,0,3
1350,101,7,54,0,1
1351,67,29,27,0,6
1352,73,2,35,0,8
1353,99,16,79,0,1
1354,81,0,54,0,1
1355,108,7,55,0,1
1356,67,2,43,3,5
1357,133,35,90,0,1
1358,61,2,34,1,1
1359,74,22,94,3,2
1360,86,30,47,0,2
1361,69,17,10,0,2
1362,107,7,62,0,1
1363,83,30,44,0,1
1364,239,19,59,0,7
1365,135,7,19,0,1
1366,67,19,43,0,8
1367,101,7,32,3,3
1368,71,4,41,0,1
1369,96,24,11,0,8
1370,61,31,15,0,1
1371,81,8,12,2,1
1372,66,8,93,0,1
1373,65,30,56,0,4
1374,79,5,62,0,7
1375,63,13,17,0,3
1376,61,34,35,1,1
1377,83,12,21,0,5
1378,84,18,18,0,1
1379,67,19,78,0,2
1380,112,1,8,0,3
1381,112,7,96,0,1
1382,115,1,30,0,2
1383,273,1,64,0,9
1384,128,4,24,0,6
1385,71,21,67,0,1
1386,63,9,92,0,5
1387,68,24,37,0,9
1388,66,13,59,0,1
1389,108,3,44,0,3
1390,71,34,47,2,2
1391,79,14,28,0,1
1392,107,0,62,0,2
1393,78,5,38,5,8
1394,73,9,94,0,2
1395,80,28,78,0,1
1396,96,27,94,0,2
1397,68,4,75,0,2
1398,117,24,32,0,2
1399,76,11,41,0,2
1400,62,0,59,0,2
1401,69,3,29,0,9
1402,151,11,42,0,4
1403,78,10,63,0,1
1404,106,34,36,1,2
1405,67,14,51,0,3
1406,61,6,48,0,2
1407,95,19,48,0,2
1408,213,29,62,0,5
1409,65,23,27,0,1
1410,105,6,31,1,1
1411,66,7,56,0,1
1412,66,7,41,2,9
1413,62,10,31,0,5
1414,66,34,38,0,1
1415,64,9,28,1,2
1416,95,18,21,0,1
1417,61,13,55,0,6
1418,95,3,54,0,1
1419,67,19,50,0,2
1420,101,3,43,1,2
1421,66,31,69,4,6
1422,73,4,47,0,2
1423,93,15,31,3,1
1424,99,8,79,0,1
1425,113,27,29,0,2
1426,62,17,75,0,1
1427,63,16,34,0,1
1428,128,8,39,0,1
1429,74,4,12,4,2
1430,74,7,50,0,1
1431,90,4,63,0,7
1432,63,14,56,2,1
1433,71,28,3,0,1
1434,108,2,83,0,1
1435,104,14,13,1,2
1436,92,24,95,4,1
1437,92,4,37,1,2
1438,68,1,44,0,1
1439,119,27,37,2,6
1440,71,17,57,0,5
1441,68,11,46,2,1
1442,63,11,20,0,2
1443,70,5,33,1,7
1444,65,23,73,0,1
1445,109,5,75,0,4
1446,63,13,14,0,1
1447,73,24,15,0,1
1448,111,7,25,0,3
1449,76,17,72,0,8
1450,74,23,22,0,2
1451,69,1,56,0,1
1452,112,25,12,0,8
1453,117,12,58,0,1
1454,83,4,3,0,3
1455,145,29,70,0,1
1456,69,12,89,0,1
1457,70,25,21,0,6
1458,185,29,26,0,3
1459,61,16,55,0,1
1460,76,17,72,0,8
1461,102,17,91,0,2
1462,61,31,43,0,2
1463,84,33,69,0,3
1464,71,4,76,0,2
1465,74,35,17,1,1
1466,136,35,1,0,2
1467,138,9,16,1,2
1468,107,2,74,0,3
1469,131,1,57,0,3
1470,84,26,23,0,2
1471,72,21,47,0,9
1472,94,14,38,1,1
1473,95,29,73,3,7
1474,113,32,47,0,9
1475,70,30,49,0,6
1476,102,19,13,0,3
1477,117,23,54,2,1
1478,71,0,69,0,1
1479,69,11,98,2,2
1480,62,9,77,0,1
1481,118,26,36,0,4
1482,69,14,39,0,1
1483,111,0,57,2,1
1484,131,6,54,0,1
1485,61,16,97,0,8
1486,131,7,54,0,7
1487,63,23,90,0,1
1488,94,22,66,0,3
1489,121,5,94,0,8
1490,68,9,46,0,2
1491,62,4,73,0,1
1492,74,6,50,1,1
1493,95,3,72,2,1
1494,91,13,89,0,1
1495,84,13,33,0,1
1496,94,3,99,0,1
1497,79,17,4,0,3
1498,69,25,41,0,3
1499,67,28,72,0,2
1500,69,3,41,0,2
1501,64,5,80,0,6
1502,117,7,46,0,1
1503,125,14,95,0,1
1504,188,5,33,0,1
1505,82,1,33,0,1
1506,102,34,11,0,2
1507,67,22,49,0,1
1508,129,8,0,0,9
1509,112,2,61,0,3
1510,132,6,52,0,1
1511,114,29,96,0,2
1512,73,30,8,0,1
1513,99,3,27,1,5
1514,81,26,31,0,2
1515,108,14,63,0,1
1516,287,8,20,3,7
1517,71,8,30,0,8
1518,99,12,77,0,4
1519,85,13,19,0,1
1520,64,25,80,0,1
1521,114,33,55,0,2
1522,101,3,43,1,2
1523,100,24,23,0,1
1524,69,7,45,1,2
1525,74,14,33,0,1
1526,63,28,82,0,2
1527,81,2,50,2,1
1528,65,16,0,0,1
1529,62,13,6,5,2
1530,79,3,84,0,2
1531,72,4,55,0,1
1532,92,10,70,2,2
1533,65,15,58,0,1
1534,180,21,68,0,1
1535,64,15,94,0,2
1536,71,30,69,1,1
1537,65,16,93,0,1
1538,111,0,72,0,7
1539,119,25,89,0,2
1540,196,5,59,2,1
1541,192,15,67,0,5
1542,62,9,10,2,7
1543,136,17,9,0,3
1544,67,33,83,0,6
1545,73,31,80,1,1
1546,66,19,33,0,4
1547,72,14,29,0,2
1548,62,8,98,0,2
1549,66,20,53,0,2
1550,104,17,61,0,2
1551,102,13,78,0,1
1552,297,24,68,0,1
1553,86,8,64,0,1
1554,61,32,68,0,2
1555,244,6,30,0,3
1556,63,20,28,0,1
1557,65,5,57,0,3
1558,153,20,97,0,2
1559,82,3,55,2,1
1560,106,25,54,1,3
1561,68,19,2,3,2
1562,82,26,12,0,9
1563,74,23,64,0,2
1564,102,19,22,0,5
1565,82,33,27,0,2
1566,77,2,71,0,9
1567,66,18,71,0,9
1568,109,7,60,0,8
1569,95,12,17,1,6
1570,61,18,15,0,8
1571,112,28,48,0,1
1572,109,33,21,0,2
1573,112,23,49,0,2
1574,101,3,32,0,1
1575,102,5,3,0,2
1576,66,15,45,0,1
1577,125,10,26,0,1
1578,107,19,52,0,1
1579,93,1,99,0,2
1580,72,15,91,2,2
1581,110,20,56,0,6
1582,138,14,42,0,3
1583,62,16,45,0,1
1584,109,2,93,0,3
1585,62,33,3,1,1
1586,64,9,63,0,1
1587,107,14,37,0,3
1588,91,16,13,0,1
1589,71,7,1,0,2
1590,88,31,63,0,6
1591,112,11,3,0,1
1592,201,0,11,0,2
1593,66,0,10,0,1
1594,72,12,70,0,3
1595,110,6,74,0,1
1596,69,15,73,0,2
1597,102,11,90,0,5
1598,70,6,61,0,1
1599,62,19,75,0,3
1600,192,28,62,0,1
1601,118,19,27,0,8
1602,68,4,37,0,1
1603,92,2,38,0,1
1604,137,18,50,0,1
1605,118,18,91,0,1
1606,89,17,56,0,3
1607,85,19,4,0,2
1608,115,18,80,1,3
1609,132,30,1,1,1
1610,80,14,17,0,9
1611,107,16,9,1,3
1612,66,32,53,0,7
1613,116,0,35,0,7
1614,70,0,86,0,3
1615,65,1,60,0,1
1616,91,21,25,0,1
1617,62,31,64,0,1
1618,73,11,56,0,5
1619,137,15,0,0,9
1620,66,6,27,0,1
1621,149,16,70,0,2
1622,146,20,14,0,4
1623,64,10,61,0,2
1624,105,4,98,0,6
1625,66,10,95,0,3
1626,189,28,90,0,5
1627,71,15,97,0,1
1628,86,28,18,0,1
1629,66,7,43,1,5
1630,97,27,96,0,2
1631,88,26,91,0,7
1632,73,18,32,0,1
1633,111,32,50,1,1
1634,68,21,69,0,7
1635,66,6,4,0,7
1636,161,0,94,0,3
1637,71,13,95,0,1
1638,115,11,63,0,8
1639,104,3,28,1,2
1640,113,0,9,3,2
1641,72,1,6,2,2
1642,72,1,51,0,9
1643,86,30,32,0,2
1644,89,22,93,0,2
1645,110,24,57,0,1
1646,61,8,78,0,9
1647,68,4,83,0,7
1648,67,7,43,0,7
1649,196,3,67,0,3
1650,70,13,66,0,2
1651,119,4,7,0,6
1652,119,0,91,0,1
1653,62,21,93,0,1
1654,72,15,14,1,4
1655,65,23,27,0,1
1656,92,21,20,0,3
1657,117,5,17,0,2
1658,65,0,3,0,3
1659,64,9,17,0,2
1660,73,5,86,0,9
1661,107,9,18,0,1
1662,79,9,40,0,7
1663,71,27,81,0,5
1664,64,24,47,0,6
1665,94,2,61,0,6
1666,113,10,14,0,1
1667,84,1,94,0,5
1668,86,12,71,0,1
1669,77,11,36,0,6
1670,110,35,78,1,1
1671,106,10,32,0,1
1672,95,17,16,0,2
1673,67,17,72,0,3
1674,64,2,52,0,1
1675,70,21,50,0,3
1676,87,16,89,0,1
1677,125,6,44,0,1
1678,94,16,23,0,5
1679,109,23,45,0,4
1680,73,17,64,0,3
1681,72,0,50,0,6
1682,126,6,52,0,2
1683,90,1,69,0,1
1684,92,4,25,1,1
1685,72,15,18,0,2
1686,65,31,99,0,9
1687,235,20,60,0,1
1688,63,15,67,0,1
1689,72,21,58,0,3
1690,109,8,70,0,1
1691,72,20,35,0,1
1692,87,6,67,0,3
1693,64,20,50,0,3
1694,69,17,65,0,4
1695,103,17,56,0,4
1696,69,16,50,0,2
1697,83,20,4,0,1
1698,69,33,71,1,8
1699,61,2,90,0,1
1700,66,20,72,0,2
1701,95,3,54,0,1
1702,72,13,81,0,3
1703,67,17,38,0,3
1704,71,18,73,0,1
1705,63,0,66,0,1
1706,117,24,10,0,4
1707,91,25,63,0,3
1708,95,8,3,0,4
1709,116,23,21,0,2
1710,69,6,29,1,1
1711,119,11,9,0,2
1712,80,6,28,0,2
1713,111,27,79,1,8
1714,196,4,14,0,1
1715,74,6,55,1,7
1716,83,21,67,0,8
1717,66,14,88,1,5
1718,70,33,82,3,1
1719,113,34,6,0,3
1720,82,10,17,1,2
1721,130,31,84,0,2
1722,65,23,73,0,1
1723,67,17,57,0,5
1724,95,17,64,0,8
1725,104,5,97,3,2
1726,65,10,8,0,1
1727,67,0,52,0,1
1728,72,16,31,0,9
1729,110,23,25,1,8
1730,61,17,44,0,2
1731,71,8,19,3,2
1732,98,21,95,3,8
1733,72,16,31,0,9
1734,103,29,35,0,2
1735,114,16,63,0,8
1736,65,1,27,0,2
1737,78,19,18,0,1
1738,63,1,9,0,1
1739,89,30,22,0,7
1740,104,22,50,0,1
1741,117,33,74,0,1
1742,61,9,60,0,4
1743,73,17,34,2,1
1744,109,16,70,1,1
1745,67,5,34,1,2
1746,82,2,22,1,8
1747,64,9,96,2,2
1748,70,0,67,0,3
1749,76,16,91,0,3
1750,71,2,22,0,1
1751,91,26,89,0,6
1752,74,8,79,0,4
1753,127,2,80,0,1
1754,62,25,15,0,1
1755,119,25,89,0,2
1756,61,31,47,0,5
1757,104,17,61,0,2
1758,107,29,29,0,9
1759,63,10,45,2,1
1760,70,15,99,0,3
1761,67,22,41,0,3
1762,73,6,15,0,1
1763,126,1,31,0,2
1764,83,27,34,1,2
1765,62,22,3,0,1
1766,68,0,48,1,5
1767,70,8,48,0,5
1768,107,33,42,0,1
1769,183,3,78,0,2
1770,68,16,57,0,2
1771,64,4,86,0,8
1772,68,7,21,0,1
1773,92,4,60,0,3
1774,66,6,71,2,1
1775,67,0,13,0,9
1776,111,12,55,0,5
1777,69,5,64,0,2
1778,69,12,15,0,2
1779,124,15,83,0,1
1780,86,6,77,0,2
1781,64,26,33,0,1
1782,71,23,37,0,6
1783,66,16,9,0,3
1784,139,16,50,0,1
1785,113,6,75,0,1
1786,71,22,62,0,2
1787,74,5,75,0,1
1788,67,17,34,0,2
1789,69,3,92,0,1
1790,73,30,39,0,7
1791,78,6,38,0,1
1792,139,14,10,0,1
1793,125,17,89,0,5
1794,95,16,19,0,9
1795,62,18,92,4,1
1796,268,20,57,0,2
1797,78,31,24,0,2
1798,171,16,29,0,1
1799,81,23,60,0,2
1800,67,13,91,0,2
1801,70,32,31,0,3
1802,82,12,65,0,3
1803,62,6,47,0,3
1804,119,8,45,0,1
1805,101,3,43,1,2
1806,76,14,24,0,2
1807,182,5,30,0,1
1808,106,10,61,0,6
1809,73,7,19,4,3
1810,93,7,91,0,2
1811,115,12,34,0,8
1812,138,0,61,0,2
1813,71,31,85,0,3
1814,73,6,85,0,2
1815,130,6,50,0,1
1816,71,20,92,0,5
1817,65,1,12,0,4
1818,71,12,78,0,2
1819,211,0,88,4,1
1820,66,12,53,0,2
1821,192,0,66,0,7
1822,72,22,14,0,2
1823,187,6,12,0,1
1824,98,17,90,0,2
1825,74,18,2,0,9
1826,71,3,33,0,3
1827,68,13,26,0,2
1828,99,26,49,1,1
1829,71,21,0,0,1
1830,65,13,84,0,1
1831,106,8,11,0,3
1832,65,22,34,0,2
1833,95,26,25,0,1
1834,129,19,91,0,1
1835,63,3,42,0,2
1836,107,11,56,0,5
1837,72,6,70,0,3
1838,102,24,43,0,1
1839,67,3,0,0,6
1840,61,3,58,0,5
1841,61,19,44,0,1
1842,100,15,96,1,1
1843,70,15,56,2,2
1844,93,21,8,0,3
1845,113,0,45,2,7
1846,124,28,49,0,1
1847,99,4,2,1,2
1848,104,9,58,0,7
1849,64,3,93,0,4
1850,92,26,11,4,1
1851,64,34,12,0,3
1852,74,29,67,0,7
1853,71,3,38,0,3
1854,89,22,93,0,2
1855,107,4,46,0,7
1856,74,30,37,0,2
1857,84,1,9,0,6
1858,235,8,61,1,2
1859,66,31,69,4,6
1860,68,2,65,3,1
1861,115,1,95,0,2
1862,113,7,95,1,1
1863,71,11,45,0,2
1864,67,12,82,0,2
1865,68,22,43,0,1
1866,66,23,72,1,3
1867,73,21,79,0,1
1868,96,35,29,0,7
1869,73,28,44,0,5
1870,74,19,4,0,1
1871,116,3,97,0,3
1872,121,3,37,0,5
1873,67,19,50,0,2
1874,94,7,4,0,2
1875,61,12,64,1,3
1876,92,26,29,0,5
1877,73,11,76,0,5
1878,70,5,29,0,4
1879,83,8,78,0,4
1880,64,23,68,0,2
1881,276,33,91,0,1
1882,92,6,35,0,3
1883,62,9,33,1,4
1884,62,26,62,0,3
1885,168,11,46,0,1
1886,104,25,33,3,1
1887,127,14,37,0,1
1888,97,26,45,0,3
1889,66,19,26,0,2
1890,107,28,23,1,1
1891,102,26,96,3,2
1892,139,14,9,1,1
1893,65,24,93,0,9
1894,72,16,31,0,9
1895,131,7,57,0,3
1896,185,22,25,0,1
1897,69,11,24,0,6
1898,96,3,61,0,2
1899,101,15,90,0,2
1900,67,19,5,0,1
1901,99,9,17,0,1
1902,62,14,24,0,2
1903,74,5,95,0,2
1904,61,23,54,0,1
1905,74,35,2,0,3
1906,68,34,68,0,4
1907,100,22,40,2,2
1908,101,28,34,0,6
1909,72,18,25,1,7
1910,70,23,86,0,2
1911,83,20,32,0,1
1912,67,14,95,0,1
1913,118,3,76,0,2
1914,74,16,89,1,2
1915,64,21,5,0,1
1916,66,16,35,4,1
1917,111,2,9,0,2
1918,198,31,15,0,7
1919,68,19,2,3,2
1920,70,5,2,0,1
1921,88,25,43,0,1
1922,70,27,46,0,1
1923,78,19,18,0,1
1924,62,8,3,0,2
1925,84,3,40,0,5
1926,66,27,51,0,1
1927,141,29,27,0,7
1928,137,2,40,0,5
1929,87,6,3,0,1
1930,68,20,66,1,2
1931,61,1,99,0,2
1932,104,12,7,0,3
1933,64,5,80,0,6
1934,106,2,12,0,1
1935,64,26,72,0,2
1936,65,27,17,0,3
1937,83,18,90,1,2
1938,68,24,73,0,1
1939,112,23,28,1,2
1940,93,24,27,0,8
1941,74,3,63,0,2
1942,107,0,74,0,1
1943,69,33,19,1,1
1944,71,6,93,1,3
1945,73,22,21,0,2
1946,130,11,19,0,4
1947,63,31,99,1,1
1948,70,7,17,3,1
1949,101,14,83,0,3
1950,79,10,11,0,8
1951,74,7,64,0,1
1952,65,11,15,0,2
1953,70,14,25,0,1
1954,102,1,17,0,1
1955,135,2,41,1,1
1956,76,31,29,0,7
1957,65,11,62,0,1
1958,79,6,40,0,1
1959,69,28,15,0,1
1960,110,6,74,0,1
1961,87,20,63,0,6
1962,96,5,35,0,1
1963,69,1,79,0,4
1964,77,20,89,0,9
1965,65,14,17,0,5
1966,80,10,81,0,1
1967,98,14,75,0,2
1968,65,30,22,0,7
1969,104,29,82,0,1
1970,61,12,75,1,2
1971,117,6,6,4,5
1972,113,4,70,0,4
1973,77,3,27,1,1
1974,242,1,34,0,2
1975,64,23,19,0,2
1976,68,24,97,0,2
1977,99,7,99,0,2
1978,101,2,1,0,1
1979,83,19,51,0,1
1980,92,24,95,4,1
1981,71,25,29,0,3
1982,63,20,63,0,5
1983,130,9,43,0,2
1984,63,17,10,0,7
1985,89,32,59,0,2
1986,70,9,96,0,2
1987,111,13,55,0,2
1988,127,26,44,0,1
1989,67,9,37,1,9
1990,154,33,24,0,1
1991,64,16,25,1,5
1992,74,28,47,0,3
1993,121,12,47,0,2
1994,123,7,84,0,8
1995,107,18,79,0,2
1996,61,5,21,0,1
1997,71,27,48,0,6
1998,84,34,2,0,2
1999,133,7,9,0,8
2000,116,6,63,0,1
2001,101,12,1,0,2
2002,103,26,68,1,2
2003,193,30,38,0,7
2004,69,19,88,0,8
2005,64,23,43,0,8
2006,116,28,81,0,1
2007,99,14,48,2,9
2008,117,13,39,0,6
2009,102,2,31,0,2
2010,64,1,91,0,4
2011,91,27,85,0,2
2012,111,29,76,0,1
2013,71,34,56,0,2
2014,113,20,44,0,9
2015,72,6,34,4,3
2016,98,30,63,0,1
2017,186,32,24,1,1
2018,69,18,34,0,1
2019,66,23,19,0,1
2020,61,25,45,1,1
2021,106,6,14,0,3
2022,98,19,96,1,1
2023,73,10,10,0,1
2024,210,7,24,2,1
2025,71,3,32,0,1
2026,69,7,24,4,8
2027,170,30,47,0,1
2028,125,6,61,0,2
2029,71,16,37,0,3
2030,71,14,59,1,3
2031,100,8,16,1,4
2032,122,8,60,0,3
2033,70,28,10,2,2
2034,116,29,63,0,2
2035,93,18,95,0,3
2036,104,9,39,0,1
2037,210,7,24,2,1
2038,64,24,8,0,2
2039,73,35,14,0,2
2040,65,24,12,0,1
2041,114,2,75,0,6
2042,116,23,21,0,2
2043,135,34,28,1,3
2044,143,35,58,0,1
2045,78,15,44,0,1
2046,133,29,0,1,5
2047,101,4,37,0,3
2048,85,34,88,0,7
2049,99,25,57,5,2
2050,102,9,43,2,4
2051,103,30,23,2,1
2052,102,10,77,0,2
2053,96,10,70,0,2
2054,73,35,52,3,5
2055,108,29,52,0,2
2056,71,21,28,0,2
2057,73,33,27,0,1
2058,64,34,47,0,7
2059,70,13,76,0,2
2060,68,19,19,0,5
2061,70,20,13,0,4
2062,96,2,88,0,1
2063,111,35,68,0,1
2064,104,13,29,0,1
2065,66,8,11,0,1
2066,82,10,69,0,1
2067,121,16,64,0,1
2068,101,25,13,2,3
2069,70,8,34,0,1
2070,125,6,61,0,2
2071,71,13,24,0,1
2072,64,27,34,0,1
2073,65,9,81,0,3
2074,90,18,84,0,2
2075,62,14,11,0,6
2076,175,12,60,0,1
2077,114,24,10,3,9
2078,108,7,57,0,1
2079,63,1,21,0,2
2080,72,12,51,1,2
2081,137,2,40,0,5
2082,80,5,10,0,8
2083,67,34,32,0,1
2084,63,22,96,0,1
2085,104,17,61,0,2
2086,113,15,93,0,5
2087,88,4,52,0,2
2088,69,29,57,0,5
2089,73,35,87,1,1
2090,61,7,38,0,1
2091,62,26,98,0,1
2092,106,12,6,0,2
2093,63,19,13,0,8
2094,101,30,49,0,3
2095,107,2,74,0,3
2096,132,1,75,0,1
2097,76,17,27,0,8
2098,83,15,85,1,1
2099,83,12,1,2,9
2100,71,32,35,0,2
2101,82,32,8,1,9
2102,103,25,80,0,9
2103,84,3,37,3,8
2104,109,3,19,0,2
2105,114,3,70,0,1
2106,108,13,28,0,2
2107,74,29,32,0,1
2108,61,25,79,0,2
2109,114,20,96,1,2
2110,82,31,25,0,8
2111,96,28,90,5,5
2112,67,7,8,3,3
2113,74,11,76,4,2
2114,71,13,3,0,2
2115,74,0,41,0,2
2116,199,26,46,0,2
2117,73,21,31,0,3
2118,61,11,44,0,3
2119,66,8,68,0,1
2120,84,1,9,0,6
2121,180,14,70,0,4
2122,83,17,89,2,1
2123,74,23,62,0,3
2124,81,0,41,0,1
2125,94,26,99,0,3
2126,100,0,81,0,2
2127,65,12,57,2,1
2128,88,2,43,0,3
2129,119,8,86,0,7
2130,67,18,59,0,2
2131,103,6,28,0,2
2132,74,2,36,0,1
2133,99,7,4,0,1
2134,137,14,78,0,7
2135,82,26,33,0,3
2136,103,9,72,0,2
2137,73,17,5,2,8
2138,73,25,56,0,2
2139,155,9,62,1,8
2140,94,3,38,0,1
2141,67,22,24,0,7
2142,122,15,11,0,2
2143,83,3,72,3,1
2144,65,21,19,0,2
2145,72,12,36,0,2
2146,102,8,54,0,3
2147,79,14,28,0,1
2148,125,8,2,4,1
2149,68,4,67,0,9
2150,197,30,47,1,6
2151,66,23,14,1,8
2152,76,9,79,3,1
2153,223,5,28,1,6
2154,129,21,59,0,3
2155,65,12,68,1,2
2156,77,0,84,0,3
2157,165,29,6,2,1
2158,113,32,24,0,1
2159,69,11,44,0,5
2160,68,13,11,0,9
2161,97,3,60,1,7
2162,72,29,86,0,1
2163,96,25,71,0,6
2164,71,12,87,0,6
2165,63,27,52,0,7
2166,89,22,93,0,2
2167,137,34,77,0,4
2168,106,25,54,1,3
2169,79,8,38,0,2
2170,73,5,85,0,4
2171,66,7,17,0,1
2172,61,8,48,0,1
2173,102,35,48,0,2
2174,62,4,13,0,1
2175,90,14,20,0,3
2176,104,29,7,0,2
2177,71,19,64,1,1
2178,67,28,22,0,5
2179,80,27,79,0,9
2180,215,4,21,1,1
2181,66,8,91,0,9
2182,70,13,26,0,5
2183,92,34,39,1,2
2184,126,1,85,4,2
2185,97,1,66,0,2
2186,63,5,79,0,1
2187,99,21,35,1,4
2188,113,10,64,0,5
2189,116,1,76,1,1
2190,164,3,47,1,2
2191,91,12,52,0,2
2192,122,27,2,0,1
2193,72,6,67,0,8
2194,70,20,81,0,9
2195,73,35,36,0,2
2196,66,27,89,0,3
2197,88,25,43,0,1
2198,70,22,49,0,2
2199,87,17,42,0,1
2200,80,1,36,0,4
2201,70,13,75,0,2
2202,84,26,37,0,1
2203,93,28,3,0,8
2204,90,18,84,0,2
2205,63,32,94,0,1
2206,105,15,72,0,9
2207,110,27,30,0,2
2208,276,33,91,0,1
2209,87,24,29,0,2
2210,70,17,20,5,1
2211,73,10,98,0,2
2212,69,9,92,0,6
2213,117,10,10,0,5
2214,101,25,27,4,1
2215,114,16,70,1,1
2216,97,10,8,0,1
2217,106,7,70,0,6
2218,65,15,26,0,3
