,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
1720,68189,82,10,17,1,2,343
1721,32370,130,31,84,0,2,487
1722,34990,65,23,73,0,1,42
1723,25714,67,17,57,0,5,321
1724,61091,95,17,64,0,8,409
1725,88184,104,5,97,3,2,240
1726,60252,65,10,8,0,1,182
1727,80985,67,0,52,0,1,124
1728,36088,72,16,31,0,9,345
1729,99845,110,23,25,1,8,528
1730,29822,61,17,44,0,2,292
1731,40803,71,8,19,3,2,122
1732,71134,98,21,95,3,8,196
1733,36088,72,16,31,0,9,345
1734,29431,103,29,35,0,2,237
1735,68073,114,16,63,0,8,547
1736,17937,65,1,27,0,2,312
1737,23376,78,19,18,0,1,374
1738,21986,63,1,9,0,1,333
1739,23032,89,30,22,0,7,427
1740,32114,104,22,50,0,1,445
1741,13330,117,33,74,0,1,561
1742,44934,61,9,60,0,4,357
1743,96137,73,17,34,2,1,67
1744,40864,109,16,70,1,1,166
1745,22668,67,5,34,1,2,33
1746,90751,82,2,22,1,8,315
1747,44186,64,9,96,2,2,295
1748,92678,70,0,67,0,3,34
1749,74257,76,16,91,0,3,214
1750,99981,71,2,22,0,1,204
1751,37657,91,26,89,0,6,655
1752,19591,74,8,79,0,4,95
1753,29095,127,2,80,0,1,664
1754,37657,62,25,15,0,1,389
1755,60880,119,25,89,0,2,109
1756,61785,61,31,47,0,5,271
1757,44428,104,17,61,0,2,499
1758,95697,107,29,29,0,9,178
1759,18064,63,10,45,2,1,182
1760,74720,70,15,99,0,3,200
1761,22594,67,22,41,0,3,321
1762,40987,73,6,15,0,1,329
1763,24561,126,1,31,0,2,853
1764,76456,83,27,34,1,2,42
1765,65828,62,22,3,0,1,297
1766,37657,68,0,48,1,5,489
1767,63621,70,8,48,0,5,444
1768,10074,107,33,42,0,1,108
1769,78965,183,3,78,0,2,145
1770,37657,68,16,57,0,2,479
1771,23604,64,4,86,0,8,460
1772,99205,68,7,21,0,1,323
1773,37657,92,4,60,0,3,441
1774,37657,66,6,71,2,1,433
1775,55350,67,0,13,0,9,321
1776,21052,111,12,55,0,5,453
1777,37657,69,5,64,0,2,496
1778,24664,69,12,15,0,2,496
1779,45225,124,15,83,0,1,209
1780,30430,86,6,77,0,2,425
1781,35149,64,26,33,0,1,120
1782,16513,71,23,37,0,6,340
1783,10892,66,16,9,0,3,316
1784,37995,139,16,50,0,1,667
1785,54704,113,6,75,0,1,468
1786,25381,71,22,62,0,2,340
1787,37657,74,5,75,0,1,355
1788,18150,67,17,34,0,2,220
1789,29735,69,3,92,0,1,331
1790,77156,73,30,39,0,7,445
1791,88782,78,6,38,0,1,357
1792,51489,139,14,10,0,1,236
1793,16972,125,17,89,0,5,600
1794,99359,95,16,19,0,9,233
1795,58289,62,18,92,4,1,297
1796,45173,268,20,57,0,2,1286
1797,93246,78,31,24,0,2,41
1798,43758,171,16,29,0,1,1129
1799,75651,81,23,60,0,2,375
1800,37657,67,13,91,0,2,321
1801,36938,70,32,31,0,3,244
1802,50843,82,12,65,0,3,393
1803,21907,62,6,47,0,3,2
1804,77846,119,8,45,0,1,342
1805,20228,101,3,43,1,2,523
1806,97030,76,14,24,0,2,416
1807,80864,182,5,30,0,1,618
1808,48197,106,10,61,0,6,508
1809,70837,73,7,19,4,3,362
1810,85297,93,7,91,0,2,620
1811,70177,115,12,34,0,8,225
1812,52499,138,0,61,0,2,1171
1813,63143,71,31,85,0,3,340
1814,97361,73,6,85,0,2,350
1815,50052,130,6,50,0,1,624
1816,11612,71,20,92,0,5,340
1817,78115,65,1,12,0,4,255
1818,81947,71,12,78,0,2,203
1819,44698,211,0,88,4,1,1012
1820,26876,66,12,53,0,2,219
1821,69841,192,0,66,0,7,878
1822,97768,72,22,14,0,2,151
1823,37657,187,6,12,0,1,1588
1824,89057,98,17,90,0,2,187
1825,50217,74,18,2,0,9,355
1826,37657,71,3,33,0,3,697
1827,37657,68,13,26,0,2,489
1828,38500,99,26,49,1,1,423
1829,62018,71,21,0,0,1,293
1830,37657,65,13,84,0,1,468
1831,57394,106,8,11,0,3,316
1832,23530,65,22,34,0,2,312
1833,48887,95,26,25,0,1,456
1834,68867,129,19,91,0,1,619
1835,12062,63,3,42,0,2,302
1836,59230,107,11,56,0,5,245
1837,59586,72,6,70,0,3,91
1838,57506,102,24,43,0,1,615
1839,25134,67,3,0,0,6,321
1840,37657,61,3,58,0,5,292
1841,37657,61,19,44,0,1,292
1842,37657,100,15,96,1,1,720
1843,44901,70,15,56,2,2,460
1844,37657,93,21,8,0,3,149
1845,28463,113,0,45,2,7,324
1846,13037,124,28,49,0,1,839
1847,82320,99,4,2,1,2,475
1848,37657,104,9,58,0,7,499
1849,78460,64,3,93,0,4,203
1850,37657,92,26,11,4,1,657
1851,46922,64,34,12,0,3,403
1852,60689,74,29,67,0,7,5
1853,37657,71,3,38,0,3,340
1854,61108,89,22,93,0,2,49
1855,98003,107,4,46,0,7,449
1856,37657,74,30,37,0,2,460
1857,22081,84,1,9,0,6,451
1858,83006,235,8,61,1,2,1065
1859,38713,66,31,69,4,6,316
1860,28700,68,2,65,3,1,326
1861,61552,115,1,95,0,2,12
1862,56718,113,7,95,1,1,542
1863,66776,71,11,45,0,2,131
1864,58268,67,12,82,0,2,228
1865,37657,68,22,43,0,1,542
1866,12608,66,23,72,1,3,214
1867,63499,73,21,79,0,1,278
1868,36247,96,35,29,0,7,329
1869,30228,73,28,44,0,5,163
1870,37657,74,19,4,0,1,501
1871,37657,116,3,97,0,3,1193
1872,99364,121,3,37,0,5,580
1873,23665,67,19,50,0,2,404
1874,37657,94,7,4,0,2,807
1875,69247,61,12,64,1,3,226
1876,56047,92,26,29,0,5,82
1877,28919,73,11,76,0,5,207
1878,37657,70,5,29,0,4,223
1879,37657,83,8,78,0,4,254
1880,69900,64,23,68,0,2,33
1881,55687,276,33,91,0,1,1324
1882,78294,92,6,35,0,3,181
1883,46896,62,9,33,1,4,31
1884,37657,62,26,62,0,3,297
1885,37657,168,11,46,0,1,1476
1886,37657,104,25,33,3,1,748
1887,21385,127,14,37,0,1,609
1888,87128,97,26,45,0,3,495
1889,35434,66,19,26,0,2,297
1890,29462,107,28,23,1,1,513
1891,53243,102,26,96,3,2,489
1892,21006,139,14,9,1,1,667
1893,37657,65,24,93,0,9,312
1894,36088,72,16,31,0,9,345
1895,28948,131,7,57,0,3,295
1896,24417,185,22,25,0,1,888
1897,67099,69,11,24,0,6,22
1898,97830,96,3,61,0,2,298
1899,37657,101,15,90,0,2,727
1900,93558,67,19,5,0,1,478
1901,37384,99,9,17,0,1,475
1902,28227,62,14,24,0,2,551
1903,51008,74,5,95,0,2,355
1904,78185,61,23,54,0,1,292
1905,37657,74,35,2,0,3,532
1906,37657,68,34,68,0,4,670
1907,97205,100,22,40,2,2,5
1908,37657,101,28,34,0,6,337
1909,26225,72,18,25,1,7,320
1910,20545,70,23,86,0,2,336
1911,37657,83,20,32,0,1,398
1912,35503,67,14,95,0,1,216
1913,58988,118,3,76,0,2,566
1914,37657,74,16,89,1,2,355
1915,37657,64,21,5,0,1,685
1916,37657,66,16,35,4,1,316
1917,67197,111,2,9,0,2,147
1918,39032,198,31,15,0,7,950
1919,37657,68,19,2,3,2,326
1920,34927,70,5,2,0,1,242
1921,30817,88,25,43,0,1,91
1922,31535,70,27,46,0,1,90
1923,23376,78,19,18,0,1,374
1924,46244,62,8,3,0,2,255
1925,34886,84,3,40,0,5,403
1926,37657,66,27,51,0,1,316
1927,62935,141,29,27,0,7,232
1928,24164,137,2,40,0,5,657
1929,37657,87,6,3,0,1,760
1930,37657,68,20,66,1,2,326
1931,40153,61,1,99,0,2,340
1932,37657,104,12,7,0,3,499
1933,97131,64,5,80,0,6,307
1934,23712,106,2,12,0,1,508
1935,37657,64,26,72,0,2,307
1936,33171,65,27,17,0,3,236
1937,37657,83,18,90,1,2,398
1938,37657,68,24,73,0,1,326
1939,60228,112,23,28,1,2,286
1940,27072,93,24,27,0,8,565
1941,26057,74,3,63,0,2,523
1942,66331,107,0,74,0,1,513
1943,66030,69,33,19,1,1,282
1944,59768,71,6,93,1,3,340
1945,45106,73,22,21,0,2,350
1946,78435,130,11,19,0,4,553
1947,37657,63,31,99,1,1,453
1948,79507,70,7,17,3,1,442
1949,44986,101,14,83,0,3,624
1950,25899,79,10,11,0,8,568
1951,13610,74,7,64,0,1,355
1952,37657,65,11,15,0,2,312
1953,77362,70,14,25,0,1,386
1954,96443,102,1,17,0,1,489
1955,37657,135,2,41,1,1,939
1956,90778,76,31,29,0,7,62
1957,37657,65,11,62,0,1,361
1958,78494,79,6,40,0,1,122
1959,83497,69,28,15,0,1,196
1960,58842,110,6,74,0,1,528
1961,63935,87,20,63,0,6,221
1962,37657,96,5,35,0,1,460
1963,37657,69,1,79,0,4,331
1964,37657,77,20,89,0,9,369
1965,62258,65,14,17,0,5,117
1966,37657,80,10,81,0,1,739
1967,58516,98,14,75,0,2,470
1968,23285,65,30,22,0,7,118
1969,56901,104,29,82,0,1,499
1970,37657,61,12,75,1,2,292
1971,99443,117,6,6,4,5,228
1972,37657,113,4,70,0,4,373
1973,88246,77,3,27,1,1,428
1974,37657,242,1,34,0,2,1742
1975,64801,64,23,19,0,2,268
1976,57029,68,24,97,0,2,135
1977,28045,99,7,99,0,2,475
1978,44661,101,2,1,0,1,436
1979,21246,83,19,51,0,1,398
1980,31278,92,24,95,4,1,441
1981,74454,71,25,29,0,3,340
1982,62474,63,20,63,0,5,112
1983,37657,130,9,43,0,2,1376
1984,20647,63,17,10,0,7,185
1985,33806,89,32,59,0,2,395
1986,37657,70,9,96,0,2,340
1987,37657,111,13,55,0,2,900
1988,19589,127,26,44,0,1,1027
1989,22338,67,9,37,1,9,307
1990,66839,154,33,24,0,1,739
1991,99428,64,16,25,1,5,48
1992,31364,74,28,47,0,3,461
1993,15340,121,12,47,0,2,686
1994,36225,123,7,84,0,8,221
1995,37657,107,18,79,0,2,271
1996,37657,61,5,21,0,1,292
1997,77601,71,27,48,0,6,276
1998,74243,84,34,2,0,2,71
1999,46707,133,7,9,0,8,80
2000,37657,116,6,63,0,1,765
2001,50234,101,12,1,0,2,484
2002,75526,103,26,68,1,2,494
2003,37657,193,30,38,0,7,1610
2004,28343,69,19,88,0,8,331
2005,74948,64,23,43,0,8,216
2006,22728,116,28,81,0,1,556
2007,37657,99,14,48,2,9,712
2008,17331,117,13,39,0,6,1138
2009,35133,102,2,31,0,2,692
2010,63147,64,1,91,0,4,87
2011,67575,91,27,85,0,2,401
2012,37657,111,29,76,0,1,799
2013,48315,71,34,56,0,2,340
2014,34337,113,20,44,0,9,542
2015,33818,72,6,34,4,3,341
2016,22439,98,30,63,0,1,470
2017,79055,186,32,24,1,1,177
2018,45191,69,18,34,0,1,330
2019,41990,66,23,19,0,1,316
2020,50979,61,25,45,1,1,262
2021,59888,106,6,14,0,3,712
2022,20978,98,19,96,1,1,1176
2023,32807,73,10,10,0,1,350
2024,58414,210,7,24,2,1,1008
2025,50071,71,3,32,0,1,18
2026,67796,69,7,24,4,8,331
2027,90750,170,30,47,0,1,746
2028,37657,125,6,61,0,2,900
2029,69387,71,16,37,0,3,71
2030,29084,71,14,59,1,3,492
2031,60214,100,8,16,1,4,291
2032,96018,122,8,60,0,3,390
2033,20128,70,28,10,2,2,336
2034,60233,116,29,63,0,2,481
2035,52920,93,18,95,0,3,1101
2036,90310,104,9,39,0,1,166
2037,58414,210,7,24,2,1,1008
2038,99790,64,24,8,0,2,178
2039,21159,73,35,14,0,2,350
2040,79699,65,24,12,0,1,348
2041,68236,114,2,75,0,6,20
2042,59207,116,23,21,0,2,556
2043,21499,135,34,28,1,3,648
2044,77563,143,35,58,0,1,545
2045,33415,78,15,44,0,1,374
2046,20179,133,29,0,1,5,638
2047,50147,101,4,37,0,3,484
2048,22492,85,34,88,0,7,61
2049,37657,99,25,57,5,2,475
2050,93715,102,9,43,2,4,254
2051,23540,103,30,23,2,1,494
2052,25370,102,10,77,0,2,489
2053,68771,96,10,70,0,2,276
2054,37657,73,35,52,3,5,350
2055,68562,108,29,52,0,2,228
2056,36733,71,21,28,0,2,327
2057,45768,73,33,27,0,1,191
2058,37657,64,34,47,0,7,307
2059,63513,70,13,76,0,2,185
2060,58161,68,19,19,0,5,140
2061,83640,70,20,13,0,4,471
2062,37657,96,2,88,0,1,28
2063,37657,111,35,68,0,1,700
2064,37657,104,13,29,0,1,499
2065,37657,66,8,11,0,1,3
2066,25820,82,10,69,0,1,393
2067,37657,121,16,64,0,1,699
2068,30366,101,25,13,2,3,484
2069,51789,70,8,34,0,1,336
2070,37657,125,6,61,0,2,900
2071,18608,71,13,24,0,1,340
2072,83758,64,27,34,0,1,106
2073,22886,65,9,81,0,3,312
2074,11828,90,18,84,0,2,571
2075,44762,62,14,11,0,6,114
2076,37657,175,12,60,0,1,1221
2077,82664,114,24,10,3,9,133
2078,37657,108,7,57,0,1,777
2079,37657,63,1,21,0,2,302
2080,84978,72,12,51,1,2,166
2081,24164,137,2,40,0,5,657
2082,37657,80,5,10,0,8,488
2083,62777,67,34,32,0,1,101
2084,19864,63,22,96,0,1,352
2085,44428,104,17,61,0,2,499
2086,21139,113,15,93,0,5,656
2087,37657,88,4,52,0,2,851
2088,11896,69,29,57,0,5,476
2089,37657,73,35,87,1,1,350
2090,27972,61,7,38,0,1,292
2091,37657,62,26,98,0,1,624
2092,38399,106,12,6,0,2,368
2093,20868,63,19,13,0,8,134
2094,49682,101,30,49,0,3,198
2095,79090,107,2,74,0,3,289
2096,81850,132,1,75,0,1,429
2097,22906,76,17,27,0,8,519
2098,37657,83,15,85,1,1,398
2099,37138,83,12,1,2,9,417
2100,37657,71,32,35,0,2,511
2101,21024,82,32,8,1,9,450
2102,37657,103,25,80,0,9,741
2103,77135,84,3,37,3,8,98
2104,37657,109,3,19,0,2,718
2105,37657,114,3,70,0,1,820
2106,72845,108,13,28,0,2,463
2107,51622,74,29,32,0,1,355
2108,37657,61,25,79,0,2,292
2109,15616,114,20,96,1,2,547
2110,37657,82,31,25,0,8,590
2111,23091,96,28,90,5,5,460
2112,37657,67,7,8,3,3,482
2113,22699,74,11,76,4,2,355
2114,14072,71,13,3,0,2,511
2115,81713,74,0,41,0,2,332
2116,56516,199,26,46,0,2,955
2117,37657,73,21,31,0,3,525
2118,26747,61,11,44,0,3,404
2119,63422,66,8,68,0,1,355
2120,22081,84,1,9,0,6,451
2121,37657,180,14,70,0,4,1296
2122,29698,83,17,89,2,1,215
2123,24518,74,23,62,0,3,241
2124,62873,81,0,41,0,1,207
2125,28377,94,26,99,0,3,451
2126,21102,100,0,81,0,2,480
2127,37657,65,12,57,2,1,312
2128,37657,88,2,43,0,3,539
2129,81410,119,8,86,0,7,221
2130,27869,67,18,59,0,2,482
2131,57449,103,6,28,0,2,494
2132,40901,74,2,36,0,1,13
2133,88701,99,7,4,0,1,171
2134,29365,137,14,78,0,7,657
2135,37657,82,26,33,0,3,393
2136,37657,103,9,72,0,2,1060
2137,56455,73,17,5,2,8,350
2138,35095,73,25,56,0,2,525
2139,37657,155,9,62,1,8,1116
2140,94903,94,3,38,0,1,451
2141,80192,67,22,24,0,7,95
2142,37657,122,15,11,0,2,827
2143,60244,83,3,72,3,1,326
2144,52735,65,21,19,0,2,123
2145,78275,72,12,36,0,2,25
2146,77282,102,8,54,0,3,489
2147,21604,79,14,28,0,1,379
2148,51962,125,8,2,4,1,788
2149,37657,68,4,67,0,9,489
2150,56362,197,30,47,1,6,945
2151,85753,66,23,14,1,8,316
2152,36167,76,9,79,3,1,364
2153,68568,223,5,28,1,6,1070
2154,35482,129,21,59,0,3,619
2155,92079,65,12,68,1,2,114
2156,37657,77,0,84,0,3,554
2157,37657,165,29,6,2,1,1188
2158,34558,113,32,24,0,1,376
2159,14775,69,11,44,0,5,170
2160,35637,68,13,11,0,9,326
2161,66726,97,3,60,1,7,335
2162,37657,72,29,86,0,1,345
2163,37657,96,25,71,0,6,460
2164,79719,71,12,87,0,6,425
2165,25632,63,27,52,0,7,351
2166,61108,89,22,93,0,2,49
2167,37657,137,34,77,0,4,657
2168,21073,106,25,54,1,3,508
2169,17932,79,8,38,0,2,379
2170,81082,73,5,85,0,4,281
2171,71684,66,7,17,0,1,196
2172,57338,61,8,48,0,1,292
2173,37657,102,35,48,0,2,489
2174,24409,62,4,13,0,1,297
2175,83488,90,14,20,0,3,432
2176,37657,104,29,7,0,2,773
2177,62537,71,19,64,1,1,354
2178,10621,67,28,22,0,5,321
2179,43478,80,27,79,0,9,384
2180,46503,215,4,21,1,1,1032
2181,27179,66,8,91,0,9,344
2182,62229,70,13,26,0,5,336
2183,37657,92,34,39,1,2,441
2184,67060,126,1,85,4,2,339
2185,13663,97,1,66,0,2,465
2186,37657,63,5,79,0,1,453
2187,37657,99,21,35,1,4,699
2188,97745,113,10,64,0,5,695
2189,26026,116,1,76,1,1,283
2190,72794,164,3,47,1,2,50
2191,47730,91,12,52,0,2,219
2192,37657,122,27,2,0,1,725
2193,37657,72,6,67,0,8,345
2194,37657,70,20,81,0,9,336
2195,97785,73,35,36,0,2,236
2196,37657,66,27,89,0,3,712
2197,30817,88,25,43,0,1,91
2198,64502,70,22,49,0,2,39
2199,30335,87,17,42,0,1,326
2200,21020,80,1,36,0,4,178
2201,84574,70,13,75,0,2,167
2202,37657,84,26,37,0,1,700
2203,37657,93,28,3,0,8,436
2204,11828,90,18,84,0,2,571
2205,54889,63,32,94,0,1,302
2206,89918,105,15,72,0,9,367
2207,87002,110,27,30,0,2,199
2208,55687,276,33,91,0,1,1324
2209,17103,87,24,29,0,2,417
2210,37657,70,17,20,5,1,702
2211,28441,73,10,98,0,2,686
2212,91212,69,9,92,0,6,270
2213,66325,117,10,10,0,5,497
2214,67895,101,25,27,4,1,403
2215,29550,114,16,70,1,1,118
2216,10275,97,10,8,0,1,465
2217,61725,106,7,70,0,6,508
2218,28215,65,15,26,0,3,468
2219,10563,121,20,10,0,2,109
2220,37657,62,10,97,0,3,722
2221,99722,61,6,48,0,2,292
2222,16224,93,13,55,0,9,498
2223,72096,64,24,92,0,5,252
2224,63800,113,9,43,0,4,542
2225,55687,276,33,91,0,1,1324
2226,37657,89,6,49,1,3,640
2227,37657,61,8,91,0,1,351
2228,29598,87,2,70,0,2,150
2229,22907,180,13,86,2,1,49
2230,22697,186,35,39,1,8,892
2231,70174,64,18,80,0,7,128
2232,85378,107,7,4,0,2,513
2233,31477,94,22,77,0,3,146
2234,66429,136,35,93,0,1,57
2235,37657,90,15,55,0,3,900
2236,37657,65,29,32,0,3,655
2237,37657,172,23,6,0,1,141
2238,74217,100,35,3,0,6,418
2239,46298,88,11,82,3,4,128
2240,37657,135,0,86,0,1,648
2241,43860,65,15,58,0,1,156
2242,37657,69,11,5,0,2,331
2243,48029,61,7,52,0,9,292
2244,86830,123,18,5,0,3,480
2245,37657,77,29,21,0,2,509
2246,40706,71,30,96,0,1,166
2247,69231,65,19,7,0,9,193
2248,37657,132,13,33,0,2,950
2249,37657,105,5,87,0,3,756
2250,16171,74,8,36,0,4,311
2251,51397,61,20,61,0,1,292
2252,83879,69,3,66,0,2,212
2253,63267,92,22,31,0,8,530
2254,44712,82,19,14,2,8,537
2255,59311,69,8,38,0,9,14
2256,81957,86,23,76,0,4,433
2257,59601,67,28,2,0,6,321
2258,71034,103,26,15,0,3,494
2259,13103,72,21,32,0,7,458
2260,20978,98,19,96,1,1,1176
2261,46503,215,4,21,1,1,1032
2262,61064,113,32,77,0,1,539
2263,17572,110,0,35,0,1,639
2264,99823,116,2,64,0,2,250
2265,17453,118,12,70,1,9,566
2266,55663,166,19,63,0,1,194
2267,73196,66,0,93,1,1,85
2268,58577,110,6,62,0,1,303
2269,88055,71,11,37,0,6,337
2270,37657,80,17,96,0,5,384
2271,80892,110,15,76,0,1,528
2272,34990,65,23,73,0,1,42
2273,37124,72,4,17,0,1,430
2274,22236,62,3,45,0,4,409
2275,97131,64,5,80,0,6,307
2276,67760,74,19,19,0,3,465
2277,37657,69,13,74,0,1,97
2278,37657,62,6,44,1,2,307
2279,37473,70,0,92,0,3,336
2280,32314,68,17,77,0,2,326
2281,49214,102,0,82,3,2,371
2282,49851,69,27,85,1,2,331
2283,27951,91,32,4,0,2,436
2284,37657,95,13,20,0,5,456
2285,56410,117,13,73,0,3,523
2286,22497,212,15,71,0,7,1017
2287,61347,106,27,66,0,2,604
2288,37803,74,26,51,0,1,355
2289,91276,105,14,4,0,4,504
2290,30816,87,10,43,0,4,237
2291,41968,67,11,96,0,1,183
2292,35754,199,21,54,0,3,612
2293,36706,71,4,45,0,1,435
2294,48258,249,12,86,0,2,1195
2295,52965,134,6,77,3,4,83
2296,37657,84,25,44,0,1,604
2297,37657,65,8,5,0,1,455
2298,62634,116,10,89,0,2,122
2299,96917,61,24,2,0,2,71
2300,76157,116,15,80,0,1,556
2301,53219,117,24,36,0,1,561
2302,81412,109,1,29,0,1,344
2303,59744,105,1,79,0,2,476
2304,38898,117,26,68,0,3,561
2305,37657,94,19,98,2,4,17
2306,99961,66,6,54,2,1,316
2307,30886,91,7,53,0,4,103
2308,35984,128,7,68,3,1,275
2309,37657,125,27,97,4,1,539
2310,37657,181,13,16,0,1,1303
2311,37657,139,4,35,0,2,667
2312,60244,83,3,72,3,1,326
2313,37657,72,8,61,0,2,518
2314,37553,187,34,7,0,2,897
2315,37657,73,24,47,0,3,525
2316,60475,107,9,18,0,1,513
2317,37657,111,3,59,0,9,672
2318,37657,136,7,61,2,3,979
2319,25545,69,19,49,0,9,331
2320,24182,66,12,32,0,1,316
2321,80979,84,32,27,2,3,25
2322,37657,62,8,20,0,7,446
2323,37657,74,20,3,0,2,47
2324,29250,64,27,30,0,1,308
2325,33566,63,25,56,1,4,205
2326,65247,72,14,55,0,1,381
2327,39650,86,18,8,0,6,922
2328,37657,101,1,83,4,1,960
2329,82680,68,8,86,0,2,326
2330,37657,111,30,86,0,3,799
2331,37657,129,15,42,0,3,619
2332,37657,69,17,60,0,2,460
2333,37657,61,9,16,1,1,439
2334,86834,64,2,93,0,8,0
2335,46143,122,15,85,0,1,223
2336,21275,240,3,58,0,2,1152
2337,47746,106,9,4,0,1,246
2338,51675,196,11,86,0,5,940
2339,85522,64,1,56,0,3,165
2340,37657,63,3,35,4,4,753
2341,37657,84,17,5,0,2,633
2342,55632,123,35,98,0,7,478
2343,37657,93,24,25,0,2,669
2344,37657,78,32,37,0,5,374
2345,69152,89,8,83,4,1,221
2346,13476,67,3,30,2,2,433
2347,37657,105,2,84,0,5,914
2348,33252,71,20,4,0,1,407
2349,37657,102,16,1,1,1,734
2350,59456,189,11,7,0,8,907
2351,88989,63,19,28,1,3,232
2352,37657,107,17,39,0,5,513
2353,17034,113,11,40,0,6,542
2354,88435,62,16,61,0,1,136
2355,71445,70,6,95,2,1,336
2356,72149,101,18,43,0,6,69
2357,23376,78,19,18,0,1,374
2358,44788,61,6,48,0,2,386
2359,69379,103,14,79,0,1,494
2360,38521,134,15,71,0,1,557
2361,34482,67,4,6,0,2,83
2362,37657,68,35,35,0,1,487
2363,37256,62,15,7,0,2,128
2364,77311,181,18,36,0,2,113
2365,39268,66,30,96,1,9,188
2366,59644,79,15,94,0,1,379
2367,37657,68,2,33,0,2,326
2368,23376,78,19,18,0,1,374
2369,50854,73,15,72,0,2,101
2370,35158,76,14,27,0,2,165
2371,15413,106,4,67,0,1,508
2372,17860,99,16,0,2,1,656
2373,16181,181,22,79,0,8,1261
2374,91182,96,8,90,0,1,249
2375,41154,72,6,7,1,8,345
2376,18746,68,21,93,0,1,326
2377,70277,80,23,4,0,1,84
2378,37657,66,23,38,0,4,668
2379,24919,84,21,2,1,5,420
2380,37657,79,22,82,0,2,335
2381,37657,96,31,34,0,1,460
2382,46370,68,28,86,1,1,326
2383,89918,115,14,42,0,2,423
2384,37138,85,4,13,0,1,612
2385,19683,117,17,41,1,9,561
2386,32214,100,5,6,0,2,296
2387,26472,74,22,31,0,1,355
2388,39841,72,9,40,0,5,440
2389,51085,62,4,58,1,1,406
2390,61006,74,6,99,0,9,73
2391,34148,109,27,30,0,2,451
2392,95697,61,16,55,0,1,114
2393,75685,73,35,47,0,1,369
2394,20870,72,20,90,0,2,345
2395,66900,68,15,20,0,1,326
2396,37657,106,22,51,1,8,508
2397,37043,68,25,89,3,1,30
2398,42837,106,15,39,0,1,290
2399,33305,62,3,12,0,5,353
2400,37657,103,8,35,0,1,558
2401,24823,69,23,66,0,1,229
2402,98192,84,2,64,1,2,403
2403,88249,108,9,71,0,2,244
2404,54585,71,33,39,1,3,340
2405,39770,117,11,37,0,3,561
2406,85367,85,27,20,0,1,67
2407,74809,61,7,35,0,3,283
2408,50144,114,0,35,0,2,786
2409,20075,79,7,2,1,1,483
2410,76448,63,9,13,0,3,302
2411,59556,113,11,86,0,1,681
2412,14174,72,1,62,0,8,345
2413,35230,61,27,2,1,2,16
2414,37657,91,33,38,0,2,436
2415,37657,73,18,45,0,5,350
2416,37657,114,2,45,0,7,547
2417,51352,66,21,87,3,2,95
2418,76675,72,5,38,0,9,141
2419,37657,68,6,94,0,2,326
2420,37657,72,27,21,2,2,297
2421,94242,71,35,7,1,2,41
2422,37657,113,4,92,0,2,217
2423,71153,122,1,94,0,1,209
2424,63326,225,5,99,0,1,1080
2425,29629,71,21,51,4,5,228
2426,37657,69,0,32,0,7,599
2427,23726,74,1,83,0,9,355
2428,48999,86,6,65,3,2,412
2429,13037,124,28,49,0,1,839
2430,24245,63,0,22,0,2,302
2431,44047,137,12,38,0,1,969
2432,91942,117,34,61,0,3,561
2433,37640,67,25,74,0,4,174
2434,77058,63,16,42,0,2,119
2435,37657,73,29,38,0,1,525
2436,63755,62,28,40,0,2,291
2437,37384,99,9,17,0,1,475
2438,42557,65,4,35,0,1,57
2439,45473,76,10,29,0,2,188
2440,10743,70,12,64,2,8,336
2441,37657,113,5,90,0,2,813
2442,37657,61,16,29,0,1,283
2443,37657,64,27,32,3,5,575
2444,75644,65,5,68,3,9,467
2445,63455,61,26,71,0,1,287
2446,73782,76,11,97,0,1,111
2447,80590,71,4,19,0,1,134
2448,59797,127,4,50,0,2,609
2449,48567,130,12,15,0,1,624
2450,62470,66,34,84,0,4,243
2451,57338,66,9,85,0,3,316
2452,63288,199,12,92,0,5,558
2453,55281,192,22,68,1,1,921
2454,22985,77,4,65,0,1,458
2455,39608,78,14,15,1,7,22
2456,99189,117,27,27,0,3,75
2457,37657,112,27,46,0,4,574
2458,37657,92,7,89,0,2,514
2459,58089,118,31,83,0,1,566
2460,81350,110,1,28,0,9,228
2461,37657,65,2,73,0,8,731
2462,43704,201,29,67,0,2,1064
2463,75497,100,5,72,0,3,71
2464,40372,85,15,17,0,4,76
2465,17489,85,31,28,0,1,587
2466,86277,74,19,33,0,3,212
2467,37657,63,3,5,0,6,453
2468,37657,74,14,38,0,2,355
2469,49078,97,10,3,0,2,484
2470,81082,73,5,85,0,4,281
2471,37657,116,20,9,2,6,835
2472,40635,102,4,45,0,6,489
2473,26351,119,14,87,0,7,571
2474,37657,80,15,83,0,1,824
2475,42836,89,32,99,0,1,244
2476,40175,102,34,78,1,1,154
2477,62873,81,0,41,0,1,207
2478,37657,74,24,98,0,5,588
2479,50985,71,7,31,0,1,307
2480,37657,116,6,28,0,2,835
2481,42803,245,21,56,0,2,889
2482,37657,69,34,13,1,1,624
2483,35970,98,29,81,0,1,470
2484,44537,106,13,42,0,1,441
2485,13528,86,21,35,0,3,412
2486,14030,72,11,3,0,1,345
2487,37657,64,0,56,0,3,492
2488,33190,106,18,95,0,2,508
2489,37657,100,1,25,0,4,61
2490,21033,118,5,22,0,8,738
2491,26285,84,7,1,0,1,403
